ktc_low;ktc_high;tot_erosion;tot_sedimentation;sed_river;sed_noriver;sed_buffer;sed_sewerin;sed_openwater;outlet_1;outlet_2
9.00;15.00;-5696828355.29;4534749943.74;2674990.52;96538.71;671698.46;2734975.17;;2674043.25;0
9.00;16.00;-5728775834.13;4559573040.04;2796344.44;99440.17;687945.62;2842273.63;;2795397.5;0
9.00;17.00;-5762181746.38;4585602253.55;2914052.10;102241.85;703801.39;2946157.76;;2913103.25;0
9.00;18.00;-5796986928.88;4612787797.44;3026792.50;104970.68;719277.56;3046518.03;;3025844.75;0
9.00;19.00;-5833128785.27;4641072237.56;3136787.73;107631.90;734463.20;3144867.50;;3135841.75;0
9.00;20.00;-5870559930.84;4670411492.25;3245732.74;110188.07;749414.48;3241688.67;;3244788.25;0
9.00;21.00;-5909231306.60;4700761068.29;3352417.66;112684.17;764145.85;3337237.98;;3351472.5;0
9.00;22.00;-5949084964.50;4732068551.04;3456758.29;115146.76;778650.34;3429994.18;;3455813.5;0
9.00;23.00;-5990058206.58;4764274295.94;3560054.43;117580.64;792990.55;3520815.00;;3559109;0
9.00;24.00;-6032088863.70;4797321310.17;3661867.76;119981.46;806322.89;3608937.45;;3660923.5;0
9.00;25.00;-6075124173.43;4831161489.70;3762228.79;122132.11;819232.08;3695054.49;;3761282;0
10.00;10.00;-6097124383.90;4847700737.48;2029122.93;78058.00;592230.15;2154877.12;;2028079.875;0
10.00;11.00;-6120940502.10;4865716773.63;2177230.80;82530.19;618028.71;2293427.57;;2176186.75;0
10.00;12.00;-6146514232.10;4885170320.67;2319862.91;86620.98;641120.35;2424780.69;;2318820;0
10.00;13.00;-6173780385.43;4906013997.12;2456616.58;90229.18;662777.77;2548324.57;;2455573;0
10.00;14.00;-6202665332.87;4928192578.45;2585742.26;93471.34;682585.43;2664981.66;;2584699.25;0
10.00;15.00;-6233118115.24;4951665555.33;2712365.72;96571.19;700588.25;2777408.28;;2711321.25;0
10.00;16.00;-6265075692.03;4976379515.92;2834558.24;99472.65;717965.43;2886072.19;;2833514.25;0
10.00;17.00;-6298486268.88;5002289358.42;2953659.11;102274.33;734546.43;2992514.40;;2952613.5;0
10.00;18.00;-6333297236.97;5029352596.65;3067876.67;105003.17;750421.45;3094932.80;;3066833.75;0
10.00;19.00;-6369447509.03;5057515178.13;3178025.70;107664.38;766079.72;3194689.62;;3176984.5;0
10.00;20.00;-6406885246.14;5086728828.60;3287137.05;110220.56;781284.24;3292911.58;;3286096.5;0
10.00;21.00;-6445562128.62;5116949915.40;3394653.11;112716.65;796186.59;3388818.13;;3393611.5;0
10.00;22.00;-6485421357.95;5148128064.44;3499089.81;115179.25;810895.51;3481777.69;;3498048;0
10.00;23.00;-6526402146.48;5180205603.57;3602390.57;117613.12;825406.56;3573066.68;;3601348.25;0
10.00;24.00;-6568440770.86;5213123967.29;3704832.12;120013.94;838823.28;3661374.46;;3703791;0
10.00;25.00;-6611484227.13;5246834362.64;3805998.33;122164.60;851842.66;3747908.56;;3804955;0
11.00;11.00;-6635312738.72;5264778054.37;2200323.11;82551.04;639395.59;2329255.23;;2199182.25;0
11.00;12.00;-6660897500.06;5284151816.10;2344473.52;86641.83;664567.95;2462855.76;;2343334.25;0
11.00;13.00;-6688174790.99;5304910668.23;2482739.49;90250.02;687472.34;2588198.46;;2481600;0
11.00;14.00;-6717068039.00;5326996368.45;2614841.49;93492.19;708545.84;2705813.63;;2613701.75;0
11.00;15.00;-6747529832.51;5350372686.03;2743497.56;96592.04;727915.09;2818747.66;;2742357.5;0
11.00;16.00;-6779496857.32;5374984982.73;2869816.59;99493.50;745899.82;2927626.73;;2868677.5;0
11.00;17.00;-6812914877.98;5400787700.96;2991241.85;102295.18;763196.78;3034416.36;;2990100;0
11.00;18.00;-6847727166.33;5427733056.07;3107736.20;105024.01;780212.11;3137971.75;;3106596.25;0
11.00;19.00;-6883877042.86;5455773144.68;3217937.93;107685.23;796530.47;3239810.54;;3216799.5;0
11.00;20.00;-6921313601.37;5484861006.01;3327102.04;110241.40;812267.96;3339837.44;;3325963.5;0
11.00;21.00;-6959985779.83;5514950974.79;3434800.80;112737.50;827623.27;3436806.58;;3433662;0
11.00;22.00;-6999837976.32;5545994050.21;3539984.39;115200.09;842473.75;3530441.76;;3538845.25;0
11.00;23.00;-7040814964.57;5577938604.19;3643403.91;117633.97;857137.54;3622415.72;;3642264;0
11.00;24.00;-7082853254.09;5610726113.95;3745932.57;120034.78;870779.24;3711351.02;;3744793.5;0
11.00;25.00;-7125895281.91;5644303536.56;3847141.54;122185.44;884006.98;3798284.86;;3846000;0
12.00;12.00;-7151489617.17;5663603963.66;2366887.83;86651.98;685306.67;2497925.72;;2365651.75;0
12.00;13.00;-7178771875.39;5684279522.25;2506888.66;90260.18;710100.19;2625090.99;;2505652.5;0
12.00;14.00;-7207675794.27;5706281620.68;2641402.60;93502.34;732770.02;2744123.80;;2640166.25;0
12.00;15.00;-7238145231.16;5729566510.48;2771466.34;96602.20;753934.74;2858616.79;;2770229.25;0
12.00;16.00;-7270125288.98;5754089196.46;2899593.59;99503.66;772914.31;2968152.10;;2898357.5;0
12.00;17.00;-7303554003.50;5779795631.63;3024054.68;102305.33;790800.21;3075149.23;;3022816.5;0
12.00;18.00;-7338375226.47;5806637038.50;3145235.74;105034.17;808213.69;3179027.33;;3144000;0
12.00;19.00;-7374532432.39;5834568593.15;3257249.76;107695.39;825219.90;3281272.61;;3256014.5;0
